Google,USA,8.8.8.8,8.8.4.4
Cloudflare,USA,1.1.1.1,1.0.0.1
Quad9,USA,9.9.9.9,149.112.112.112
OpenDNS Home,USA,208.67.222.222,208.67.220.220
Verisign,USA,64.6.64.6,64.6.65.6
Level3,USA,209.244.0.3,209.244.0.4
Neustar,USA,156.154.70.1,156.154.71.1
AdGuard DNS,Cyprus,94.140.14.14,94.140.15.15
AdGuard Family,Cyprus,94.140.14.15,94.140.15.16
Cloudflare Malware,USA,1.1.1.2,1.0.0.2
Cloudflare Family,USA,1.1.1.3,1.0.0.3
Quad9 (Malware + NoECS),USA,9.9.9.10,149.112.112.10
OpenDNS FamilyShield,USA,208.67.222.123,208.67.220.123
CleanBrowsing (Security),USA,185.228.168.9,185.228.169.9
CleanBrowsing (Adult),USA,185.228.168.10,185.228.169.10
CleanBrowsing (Family),USA,185.228.168.168,185.228.169.168
Comodo Secure,USA,8.26.56.26,8.20.247.20
Norton ConnectSafe-A,USA,199.85.126.10,199.85.127.10
Norton ConnectSafe-B,USA,199.85.126.20,199.85.127.20
Norton ConnectSafe-C,USA,199.85.126.30,199.85.127.30
Neustar (Malware),USA,156.154.70.2,156.154.71.2
Neustar (Porn),USA,156.154.70.3,156.154.71.3
Neustar (Gambling),USA,156.154.70.4,156.154.71.4
DNS.WATCH,Germany,84.200.69.80,84.200.70.40
UncensoredDNS,Denmark,91.239.100.100,89.233.43.71
Freenom,Netherlands,80.80.80.80,80.80.81.81
Alternate DNS,USA,76.76.19.19,76.223.122.150
Censurfridns,Denmark,89.233.43.71,91.239.100.100
Digitalcourage,Germany,5.9.164.112,
Swiss Privacy,Switzerland,194.182.168.60,
Applied Privacy,Austria,146.255.56.98,
LibreDNS,Switzerland,116.203.115.194,
Yandex,Russia,77.88.8.8,77.88.8.1
Yandex Safe,Russia,77.88.8.88,77.88.8.2
Yandex Family,Russia,77.88.8.7,77.88.8.3
Mail.ru,Russia,94.100.184.201,
SkyDNS,Russia,193.58.251.123,
MTS,Russia,193.232.248.2,213.87.1.2
Beeline,Russia,85.21.192.3,213.24.94.3
Rostelecom (Moscow),Russia,195.34.131.20,
Rostelecom (Ural),Russia,8.8.8.8,77.88.8.8
Rostelecom (Siberia),Russia,212.1.224.6,212.1.244.6
Megafon,Russia,10.10.10.10,
CZ.NIC,Czech Republic,185.43.135.1,193.17.47.1
OVH,France,213.186.33.99,
Deutsche Telekom,Germany,194.25.2.129,
Hurricane Electric,USA,74.82.42.42,
OpenNIC (EU),Europe,109.74.192.20,
OpenNIC (FR),France,193.110.157.32,
OpenNIC (DE),Germany,163.172.168.171,
114DNS,China,114.114.114.114,114.114.115.115
AliDNS,China,223.5.5.5,223.6.6.6
BaiduDNS,China,180.76.76.76,
DNSPod,China,119.29.29.29,182.254.116.116
NTT,Japan,129.250.35.250,129.250.35.251
KT Corporation,South Korea,168.126.63.1,168.126.63.2
SafeDNS,USA,195.46.39.39,195.46.39.40
Dyn,USA,216.146.35.35,216.146.36.36
FreeDNS,Austria,37.235.1.174,37.235.1.177
PuntCAT,Spain,109.69.8.51,
Fourth Estate,USA,45.77.165.194,
